Lat;Long;Place
-8.514986706754593;115.29879103124946;Pura Puseh Desa Adat Kutri
-8.682595632877103;115.20061015733499;Pura Dalem Begawan
-8.639347199121982;115.25747408289917;D'tukad Desa Budaya Kertalangu
-8.43918883821229;115.05193408611053;Desa Adat Cangkup
-8.4832418767373;115.15770565767143;Monumen Perjuangan Desa Tegaljadi
-8.65552218189213;115.21765127469615;Monumen Perjuangan Masyarakat Bali (Perang Puputan)
-8.784575385656618;115.19417112866749;Monumen Taman Mumbul
-8.325598519985109;114.79493831736;Obyek Wisata Alam Green Cliff
-8.274782556531802;114.51256524444337;Pantai Candikusuma
-8.342441133190915;114.53939258835722;Pantai Pebuahan
-8.361935211857135;114.78644670000001;Monumen Nasional Nusamara
-8.154706042126813;114.5221425;Pantai Teluk Terima
-8.672543950925341;115.26376351870654;Museum Le Mayeur
-8.63729357102902;115.24167417469614;Pura Puseh
-8.270015594261633;114.68741855767144;Air Terjun Yeh Mesee
-8.354902193158976;114.70530925582139;Sidi Tapa Waterfall
-8.162911826904802;114.4375309269857;Taman Siwa
-8.332533302838455;114.63971455952148;Air Terjun Kayangan Sawe
-8.159448984301276;115.02561294232855;Dermaga Cinta
-8.285726769516607;115.02400802883572;Santhipala Spring Waterfall
-8.450756060543227;115.07987481349284;Monumen MBO DPRI Sunda Kecil
-8.101302219298953;114.6434809993041;Pantai Pemuteran Bali
-8.192631406834884;114.44338399358723;Monumen Operasi Lintas Laut Jawa - Bali
-8.181537451412662;114.95973323402637;Pemandian Air Panas Banjar
-8.635061878837636;115.14206138888787;Pantai Kayu Putih
-8.584822741306569;115.29037681388759;Pantai Purnama
-8.783024642714008;115.08712974999908;Pantai Thomas
-8.544083421049898;115.34668174374859;Lebih Beach
-8.656632157868753;115.25362481349283;Big Garden Corner
-8.628991607280152;115.2544948677078;Desa Budaya Kertalangu
-8.178274875952578;114.99410434232857;Krisna Funtasticland
-8.457278062772684;114.89919374232855;KARTIKA CINAWING BEACH
-8.430009509416054;114.81701318650717;Monumen Pendaratan I Gusti Ngurah Rai
-8.339133738192466;114.75036100523002;Air Terjun Yeh Buah
-8.464604390631013;115.05298081349284;Bali SELFIE Sesandan Heritage SWING
-8.092942726667;114.57421705833205;Taman Laut Pulau Menjangan
-8.418088171624214;115.17578261319392;Desa Adat Pekraman Petiga Marga Tabanan
-8.216509997901191;114.44853463068576;Pura Sumur Kembar
-8.39570436056737;114.71778083406575;Pantai Tembles
-8.273423560217944;114.66225396041531;Wisata Puncak JR Jembrana Bali
-8.255748281184342;114.6161269614141;Bendungan Benel
-8.360926195540133;114.91441463194315;Air Terjun Juwuk Manis
-8.135765530820327;115.05384415767145;Happy Beach Tukad Mungga
-8.21192973291064;114.7807416763943;Gerokgak Dam
