index,palce,url,is_accessibility,rating,n_reviews,address,price,idx_category,description,lat,long,Coordinate,Is_accessibility,category
0,Pura Puseh Desa Adat Kutri,"https://www.google.com/maps/place/Pura+Puseh+Desa+Adat+Kutri/@-8.5377351,115.0145198,11z/data=!4m11!1m3!2m2!1sdesa+budaya+bali!6e1!3m6!1s0x2dd2176c40346529:0x1d89aaa607c0f643!8m2!3d-8.5377351!4d115.3029109!15sChBkZXNhIGJ1ZGF5YSBiYWxpkgEGbXVzZXVt4AEA!16s%2Fg%2F11fn98kcms?entry=ttu",0,3,1,"F863+W53, Buruan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581",15000,0,"Pura Puseh is one of the oldest temples in Bali, playing a significant role in the spiritual system of the village community. Known for its distinctive traditional architecture, Pura Puseh Desa Adat Kutri is a place to worship ancestral deities and has a rich history with legends about Ratu Ayu Mas Subandar, a legendary figure in Balinese tradition.",-8.514986707,115.298791,"-8.514986706754593, 115.29879103124946",FALSE,Sejarah
1,Pura Dalem Begawan,"https://www.google.com/maps/place/Pura+Dalem+Begawan/@-8.6841653,115.1646471,14z/data=!4m10!1m2!2m1!1smuseum+di+bali!3m6!1s0x2dd240d081b84ebb:0xd9bca659141d6c7c!8m2!3d-8.6841653!4d115.200696!15sCg5tdXNldW0gZGkgYmFsaZIBBm11c2V1beABAA!16s%2Fg%2F11c5s513p3?entry=ttu",0,3,2,"8682+87P, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80221",15000,0,"Located near the Petanu River, Pura Dalem Begawan is a sacred site dedicated to Lord Shiva in his manifestation as the ruler of the underworld (Dalem). This temple is known for its beautiful carvings and often hosts major traditional ceremonies.",-8.682595633,115.2006102,"-8.682595632877103, 115.20061015733499",FALSE,Sejarah
2,D'tukad Desa Budaya Kertalangu,"https://www.google.com/maps/place/D'tukad+Desa+Budaya+Kertalangu/@-8.6426566,115.184518,13z/data=!4m11!1m3!2m2!1sdesa+budaya+bali!6e1!3m6!1s0x2dd23f9a186d7159:0xe33ee30e7b23cf7c!8m2!3d-8.6426566!4d115.2566158!15sChBkZXNhIGJ1ZGF5YSBiYWxpkgEEcGFya-ABAA!16s%2Fg%2F11qnf9fc6y?entry=ttu",0,3.6,9,"9744+WJQ, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",20000,0,"D'tukad Desa Budaya Kertalangu is a cultural tourism destination offering a quintessential Balinese experience through art performances, handicrafts, and local cuisine. This place features jogging tracks and fishing ponds and is a popular venue for family events and community gatherings.",-8.639347199,115.2574741,"-8.639347199121982, 115.25747408289917",FALSE,Sejarah
3,Desa Adat Cangkup,"https://www.google.com/maps/place/Desa+Adat+Cangkup/@-8.4571875,114.7607964,11z/data=!4m11!1m3!2m2!1sdesa+budaya+bali!6e1!3m6!1s0x2dd22fec767abd13:0xeeca6af4ce9499f9!8m2!3d-8.4571875!4d115.0491875!15sChBkZXNhIGJ1ZGF5YSBiYWxpkgEPY3VsdHVyYWxfY2VudGVy4AEA!16s%2Fg%2F11rxymqj5x?entry=ttu",0,3.7,3,"Pupuan Sawah, Kec. Selemadeg, Kabupaten Tabanan, Bali",15000,0,"Desa Adat Cangkup is a traditional village that strongly preserves Balinese customs and culture. Known for its houses that still retain original Balinese architecture, it frequently hosts traditional ceremonies that depict the life and traditions of the Balinese community.",-8.439188838,115.0519341,"-8.43918883821229, 115.05193408611053",FALSE,Sejarah
4,Monumen Perjuangan Desa Tegaljadi,"https://www.google.com/maps/place/Monumen+Perjuangan+Desa+Tegaljadi/@-8.4834435,115.1530708,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd22527241c09c9:0x71f9d6b45d29d25b!8m2!3d-8.4834488!4d115.1576842!16s%2Fg%2F11t2b56xz0?entry=ttu",0,4,1,"G585+J3, Tegaljadi, Kec. Marga, Kabupaten Tabanan, Bali 82181",15000,0,This monument was erected to commemorate the struggle of the residents of Desa Tegaljadi in defending Indonesia's independence. It is often visited by locals and tourists as a tribute to the heroes who fought.,-8.483241877,115.1577057,"-8.4832418767373, 115.15770565767143",FALSE,Sejarah
5,Monumen Perjuangan Masyarakat Bali (Perang Puputan),"https://www.google.com/maps/place/Monumen+Perjuangan+Masyarakat+Bali+(Perang+Puputan)/@-8.6490945,115.199541,15z/data=!4m11!1m3!2m2!1smonumen+di+bali!6e1!3m6!1s0x2dd241ca61f7f0ad:0xfa1710b0c783b855!8m2!3d-8.6565177!4d115.2177782!15sCg9tb251bWVuIGRpIGJhbGmSAQ5tb251bWVudF9tYWtlcuABAA!16s%2Fg%2F11jrjw1954?entry=ttu",0,4,2,"86V9+94R, Dauh Puri Kangin, Kec. Denpasar Bar., Kota Denpasar, Bali 80232",15000,0,"This monument commemorates the Puputan War, a heroic battle in which the Balinese people fought to the last drop of blood against Dutch invaders. Located in the center of Puputan Square, the monument symbolizes the courage and fighting spirit of the Balinese people.",-8.655522182,115.2176513,"-8.65552218189213, 115.21765127469615",FALSE,Sejarah
6,Monumen Taman Mumbul,"https://www.google.com/maps/place/Monumen+Taman+Mumbul/@-8.7856993,115.1761896,15z/data=!4m11!1m3!2m2!1smonumen+di+bali!6e1!3m6!1s0x2dd243637876109b:0x46591b8e6db19986!8m2!3d-8.7856993!4d115.194214!15sCg9tb251bWVuIGRpIGJhbGlaESIPbW9udW1lbiBkaSBiYWxpkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5WTFZsVFgxaDNFQUXgAQA!16s%2Fg%2F1hm33p1pr?entry=ttu",0,4,92,"Jl. Bypass Ngurah Rai, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",40000,0,"Situated in the middle of a beautiful park, Taman Mumbul Monument is dedicated to local history and heroes. This site is also known for its peaceful lotus pond and is often a place for recreation and spiritual reflection.",-8.784575386,115.1941711,"-8.784575385656618, 115.19417112866749",FALSE,Sejarah
7,Obyek Wisata Alam Green Cliff,"https://www.google.com/maps/place/Obyek+Wisata+Alam+Green+Cliff/@-8.3656816,114.2195294,10z/data=!4m11!1m3!2m2!1stujuan+wisata+di+bali!6e1!3m6!1s0x2dd3d6100ea21099:0xfc3c9c456b175a53!8m2!3d-8.3656816!4d114.7963116!15sChV0dWp1YW4gd2lzYXRhIGRpIGJhbGlaFyIVdHVqdWFuIHdpc2F0YSBkaSBiYWxpkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYUV4eE1USlJSUkFC4AEA!16s%2Fg%2F11d_78tv6z?entry=ttu",0,4.1,153,"Yeh Embang Kangin, Kec. Mendoyo, Kabupaten Jembrana, Bali 82261",15000,4,Green Cliff is a natural destination offering spectacular views of green cliffs and clear river streams. This hidden paradise is perfect for nature lovers seeking tranquility and untouched natural beauty.,-8.32559852,114.7949383,"-8.325598519985109, 114.79493831736",FALSE,Taman
8,Pantai Candikusuma,"https://www.google.com/maps/place/Pantai+Candikusuma/@-8.3080765,113.9412762,10z/data=!4m11!1m3!2m2!1stujuan+wisata+di+bali!6e1!3m6!1s0x2dd15e1bffae1d07:0x9a02e805abc254f8!8m2!3d-8.3080765!4d114.5180584!15sChV0dWp1YW4gd2lzYXRhIGRpIGJhbGlaFyIVdHVqdWFuIHdpc2F0YSBkaSBiYWxpkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5MWDJSWU5sbFJFQUXgAQA!16s%2Fg%2F11bx7g56hr?entry=ttu",0,4.1,298,"Candikusuma, Kec. Melaya, Kabupaten Jembrana, Bali 82252",15000,2,"Candikusuma beach is black sand, located in Candikusuma village, Melaya District, Jembrana Regency - Bali.",-8.274782557,114.5125652,"-8.274782556531802, 114.51256524444337",FALSE,Pantai
9,Pantai Pebuahan,"https://www.google.com/maps/place/Pantai+Pebuahan/@-8.3427596,114.5346719,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1606edc4519df:0x7cb11caed1feef57!8m2!3d-8.3427649!4d114.5392853!16s%2Fg%2F11d_83wt47?entry=ttu",0,4.1,311,"Banjar Pebuahan, Kecamatan Negara, Kabupaten Jembrana, Banyu Biru, Kec. Negara, Negara, Bali 81119",15000,2,"Pantai Pebuahan is a fishing beach with breathtaking views, often a docking place for traditional fishing boats. Visitors can enjoy stunning sunsets, observe local fishing activities, and experience an untouched beach atmosphere.",-8.342441133,114.5393926,"-8.342441133190915, 114.53939258835722",FALSE,Pantai
10,Monumen Nasional Nusamara,"https://www.google.com/maps/place/Monumen+Nasional+Nusamara/@-8.3621422,114.7864467,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd3d618bd7f3c7b:0x86245715bc366adb!8m2!3d-8.3621422!4d114.7864467!16s%2Fg%2F11dxbp1xnv?entry=ttu",0,4.2,15,"JQQP+4HW, Yeh Embang Kangin, Kec. Mendoyo, Kabupaten Jembrana, Bali 82261",15000,0,"This monument honors Bali's role in the struggle for Indonesia's independence. Built with grand architecture and typical Balinese ornaments, the Nusamara National Monument showcases the history of national struggles and the spirit of nationalism.",-8.361935212,114.7864467,"-8.361935211857135, 114.78644670000001",FALSE,Sejarah
11,Pantai Teluk Terima,"https://www.google.com/maps/place/Pantai+Karang+Sewu/@-8.154945,114.5221425,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd14275c7b4da25:0x63c1a19ef6d47c7d!8m2!3d-8.154945!4d114.5221425!16s%2Fg%2F11fx8bkzxl?entry=ttu",0,4.2,124,"RGWC+2VC, Sumber Klampok, Kec. Gerokgak, Kabupaten Buleleng, Bali 81155",15000,2,"A tranquil and secluded beach in West Bali, Teluk Terima offers stunning ocean views and a peaceful atmosphere. This beach is ideal for snorkeling and diving with its clear water and beautiful coral reefs.",-8.154706042,114.5221425,"-8.154706042126813, 114.5221425",FALSE,Pantai
12,Museum Le Mayeur,"https://www.google.com/maps/place/Museum+Le+Mayeur/@-8.6748773,115.2276288,14z/data=!4m10!1m2!2m1!1smuseum+di+bali!3m6!1s0x2dd24039af93edab:0xbc2308b38e03f5c2!8m2!3d-8.6748773!4d115.2636777!15sCg5tdXNldW0gZGkgYmFsaVoQIg5tdXNldW0gZGkgYmFsaZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjRlbkEyTkUxQkVBReABAA!16s%2Fm%2F05b4vt2?entry=ttu",0,4.2,617,"87G7+2FV, Jl. Hang Tuah, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali",30000,0,"Intimate museum with artwork by Adrien-Jean Le Mayeur, plus his collections of Balinese artifacts.",-8.672543951,115.2637635,"-8.672543950925341, 115.26376351870654",FALSE,Sejarah
